num	cda	q
200000	10	5
400000	12	8
600000	13	13
800000	15	17
1000000	17	16
1200000	17	25
1400000	19	22
1600000	21	25
1800000	22	28
2000000	24	33
2200000	25	40
2400000	27	36
2600000	29	39
2800000	30	42
3000000	32	45
3200000	33	48
3400000	35	52
3600000	36	54
3800000	39	56
4000000	40	59
4200000	40	77
4400000	43	66
4600000	44	68
4800000	46	75
5000000	46	75
5200000	49	78
5400000	51	80
5600000	52	83
5800000	55	86
6000000	54	89
6200000	56	92
6400000	57	97
6600000	59	99
6800000	60	101
7000000	62	105
7200000	63	106
7400000	65	111
7600000	68	113
7800000	67	118
8000000	69	118
8200000	71	121
8400000	74	152
8600000	76	127
8800000	78	130
9000000	82	141
9200000	81	135
9400000	83	143
9600000	85	141
9800000	86	146
10000000	87	147
10200000	89	150
10400000	91	159
10600000	92	159
10800000	94	158
11000000	94	163
11200000	96	165
11400000	98	166
11600000	100	170
11800000	101	173
12000000	101	177
12200000	103	179
12400000	106	188
12600000	106	185
12800000	108	187
13000000	110	190
13200000	110	195
13400000	116	216
13600000	116	200
13800000	117	202
14000000	118	205
14200000	118	210
14400000	120	210
14600000	122	214
14800000	124	218
15000000	125	219
15200000	127	223
15400000	128	225
15600000	130	228
15800000	132	232
16000000	135	234
16200000	136	238
16400000	137	240
16600000	145	258
16800000	141	304
17000000	143	251
17200000	146	251
17400000	147	255
17600000	149	258
17800000	149	262
18000000	152	263
18200000	154	266
18400000	154	270
18600000	158	271
18800000	157	275
19000000	158	279
19200000	161	282
19400000	165	308
19600000	164	288
19800000	165	290
20000000	166	297
