sym;num;str;val
.bst.randn;100000;;13
.ql.randn;100000;;307
.cda.randn;100000;;14
.bst.randn;200000;;32
.ql.randn;200000;;635
.cda.randn;200000;;24
.bst.randn;300000;;43
.ql.randn;300000;;930
.cda.randn;300000;;32
.bst.randn;400000;;55
.ql.randn;400000;;1245
.cda.randn;400000;;43
.bst.randn;500000;;69
.ql.randn;500000;;1537
.cda.randn;500000;;52
.bst.randn;600000;;85
.ql.randn;600000;;1848
.cda.randn;600000;;61
.bst.randn;700000;;97
.ql.randn;700000;;2150
.cda.randn;700000;;71
.bst.randn;800000;;109
.ql.randn;800000;;2454
.cda.randn;800000;;81
.bst.randn;900000;;123
.ql.randn;900000;;2761
.cda.randn;900000;;90
.bst.randn;1000000;;138
.ql.randn;1000000;;3061
.cda.randn;1000000;;100
.bst.randn;1100000;;154
.ql.randn;1100000;;3381
.cda.randn;1100000;;109
.bst.randn;1200000;;165
.ql.randn;1200000;;3674
.cda.randn;1200000;;119
.bst.randn;1300000;;179
.ql.randn;1300000;;4021
.cda.randn;1300000;;128
.bst.randn;1400000;;192
.ql.randn;1400000;;4308
.cda.randn;1400000;;138
.bst.randn;1500000;;206
.ql.randn;1500000;;4594
.cda.randn;1500000;;147
.bst.randn;1600000;;221
.ql.randn;1600000;;4896
.cda.randn;1600000;;159
.bst.randn;1700000;;232
.ql.randn;1700000;;5214
.cda.randn;1700000;;167
.bst.randn;1800000;;247
.ql.randn;1800000;;5599
.cda.randn;1800000;;202
.bst.randn;1900000;;324
.ql.randn;1900000;;6679
.cda.randn;1900000;;186
.bst.randn;2000000;;275
.ql.randn;2000000;;6118
.cda.randn;2000000;;196
.bst.randn;2100000;;295
.ql.randn;2100000;;6443
.cda.randn;2100000;;203
.bst.randn;2200000;;302
.ql.randn;2200000;;6747
.cda.randn;2200000;;215
.bst.randn;2300000;;315
.ql.randn;2300000;;7102
.cda.randn;2300000;;229
.bst.randn;2400000;;327
.ql.randn;2400000;;7350
.cda.randn;2400000;;233
.bst.randn;2500000;;341
.ql.randn;2500000;;7662
.cda.randn;2500000;;242
.bst.randn;2600000;;356
.ql.randn;2600000;;7959
.cda.randn;2600000;;253
.bst.randn;2700000;;369
.ql.randn;2700000;;9434
.cda.randn;2700000;;263
.bst.randn;2800000;;383
.ql.randn;2800000;;8581
.cda.randn;2800000;;271
.bst.randn;2900000;;398
.ql.randn;2900000;;8884
.cda.randn;2900000;;281
.bst.randn;3000000;;410
.ql.randn;3000000;;9222
.cda.randn;3000000;;290
.bst.randn;3100000;;424
.ql.randn;3100000;;9487
.cda.randn;3100000;;300
.bst.randn;3200000;;437
.ql.randn;3200000;;9832
.cda.randn;3200000;;309
.bst.randn;3300000;;452
.ql.randn;3300000;;10225
.cda.randn;3300000;;382
.bst.randn;3400000;;555
.ql.randn;3400000;;11259
.cda.randn;3400000;;328
.bst.randn;3500000;;479
.ql.randn;3500000;;10755
.cda.randn;3500000;;358
.bst.randn;3600000;;493
.ql.randn;3600000;;11073
.cda.randn;3600000;;347
.bst.randn;3700000;;506
.ql.randn;3700000;;11304
.cda.randn;3700000;;359
.bst.randn;3800000;;520
.ql.randn;3800000;;11618
.cda.randn;3800000;;368
.bst.randn;3900000;;533
.ql.randn;3900000;;13033
.cda.randn;3900000;;376
.bst.randn;4000000;;547
.ql.randn;4000000;;12269
.cda.randn;4000000;;387
